Date:,31-1-2023,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (6.0.2),,,,,,,,,,,,,,,,,,
Component Count:,95,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,Footprint,,,,,,,,,,,,,,,
,,R9,10k,HCJ0805ZT0R00j:HCJ0805ZT0R00,,,,,,,,,,,,,,,
,,R10,10k,HCJ0805ZT0R00j:HCJ0805ZT0R00,,,,,,,,,,,,,,,
,,R11,10k,HCJ0805ZT0R00j:HCJ0805ZT0R00,,,,,,,,,,,,,,,
,,R12,10k,HCJ0805ZT0R00j:HCJ0805ZT0R00,,,,,,,,,,,,,,,
,,R13,10k,HCJ0805ZT0R00j:HCJ0805ZT0R00,,,,,,,,,,,,,,,
,,R14,10k,HCJ0805ZT0R00j:HCJ0805ZT0R00,,,,,,,,,,,,,,,
,,TP1,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP1.1,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP1.2,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP2,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP2.1,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP2.2,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP3,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP3.1,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP3.2,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP4,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP4.1,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP4.2,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP5,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP5.1,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP5.2,TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP6,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP7,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP8,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP9,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP10,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,TP11,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,~,,,,,,,,,,,,,,
,,U1,LM317AT/NOPB,LM317AT:LM317AT,,,,,,,,,,,,,,,
,,U2,LM317AT/NOPB,LM317AT:LM317AT,,,,,,,,,,,,,,,
,,U3,PIC24FJ64GA702-I/SO,PIC24FJ64GA702-ISO:PIC24FJ64GA702-I&slash_SO,,,,,,,,,,,,,,,
,,U4,ABLS-8.000MHZ-B2-T,ABLS-8:ABLS-8.000MHZ-B2-T,,,,,,,,,,,,,,,
,,U5,FT232RL,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,,,,,,,,,,,,,,,
,,U6,CD74HC4514M96,CD74HC4514M96j:CD74HC4514M96,,,,,,,,,,,,,,,
