"Source:","D:\IV\Racunarska elektronika\projektni_zadatak\project_git\Konstantinopolj_Catapult_2\Sema\schematic.kicad_sch"
"Date:","1/25/2023 11:00:19 PM"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","80"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","TP3.2","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"","","TP4.1","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"","","TP4.2","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"","","TP5.1","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"","","TP5.2","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"","","U1","LM317AT/NOPB","LM317AT&slash_NOPB:LM317AT{slash}NOPB","LM317AT:LM317AT",""
"","","U2","LM317AT/NOPB","LM317AT&slash_NOPB:LM317AT{slash}NOPB","LM317AT:LM317AT",""
"","","U3","PIC24FJ64GA702-I/SO","PIC24FJ64GA702-ISO:PIC24FJ64GA702-I{slash}SO","PIC24FJ64GA702-ISO:PIC24FJ64GA702-I&slash_SO",""
"","","U4","ABLS-8.000MHZ-B2-T","2022-12-14_18-13-08:ABLS-8.000MHZ-B2-T","ABLS-8:ABLS-8.000MHZ-B2-T",""
"","","U5","FT232RL","Interface_USB:FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf"
